orgUnitPath,orgUnitId,name,parentOrgUnitId
/Students/MGHS/ALC/ALC Penalty Box,id:03ph8a2z2dmo9l6,ALC Penalty Box,id:01i93fcd422u3yy
/Students/MGHS/HSLaunch,id:01i93fcd2h84e6r,HSLaunch,id:01i93fcd49miwht
/Students/MGHS/HSLaunch/CreditRecovery,id:03ph8a2z27a8o5v,CreditRecovery,id:01i93fcd2h84e6r
/Students/MGHS/PenaltyBox,id:03ph8a2z3efwxge,PenaltyBox,id:01i93fcd49miwht
/Students/MGMS,id:01i93fcd0vmhfzv,MGMS,id:01i93fcd3uzsjs3
/Students/MGMS/2021-2022 Robotics,id:03ph8a2z1zwroao,2021-2022 Robotics,id:01i93fcd0vmhfzv
/Students/MGMS/ALC,id:03ph8a2z4bpdqld,ALC,id:01i93fcd0vmhfzv
/Students/MGMS/MSPenaltyBox,id:03ph8a2z1ggb8rw,MSPenaltyBox,id:01i93fcd0vmhfzv
/Students/MGMS/RISE,id:03ph8a2z17r9xjk,RISE,id:01i93fcd0vmhfzv
/Students/MGSubs,id:01i93fcd30zelxy,MGSubs,id:01i93fcd3uzsjs3
/Students/OMTC,id:01i93fcd1hc9cwg,OMTC,id:01i93fcd3uzsjs3
/Students/OMTC/OMTC_Teaching_Program,id:03ph8a2z0su73nh,OMTC_Teaching_Program,id:01i93fcd1hc9cwg
/Students/R&D,id:01i93fcd3eekhwz,R&D,id:01i93fcd3uzsjs3
/Students/Subs,id:03ph8a2z0u4x0n4,Subs,id:01i93fcd3uzsjs3
